Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,COCCOc1cc2c(ncnc2cc1OCCOC)Nc1cccc(c1)C#C,C22H23N3O4,393.44,29,16,0.27,10,6,1,111.40,74.73,3.31,3.48,1.48,4.06,,-4.11,3.03e-02,7.71e-05,Moderately soluble,-4.56,1.10e-02,2.78e-05,Moderately soluble,-7.26,2.15e-05,5.46e-08,Poorly soluble,High,Yes,,,,,,,-6.35,0,0,0,0,0,0.55,0,1,2,3.19
Molecule 2,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,C22H24ClFN4O3,446.90,31,16,0.36,8,7,1,121.66,68.74,4.11,4.32,2.82,4.31,,-5.05,3.95e-03,8.83e-06,Moderately soluble,-5.26,2.46e-03,5.50e-06,Moderately soluble,-7.94,5.14e-06,1.15e-08,Poorly soluble,High,Yes,,,,,,,-6.11,0,0,0,0,0,0.55,0,0,3,3.26
Molecule 3,Fc1cccc(c1)COc1ccc(cc1Cl)Nc1ncnc2c1cc(cc2)c1ccc(o1)CNCCS(=O)(=O)C,C29H26ClFN4O4S,581.06,40,27,0.17,11,8,2,153.88,114.73,5.12,7.34,3.44,5.84,,-6.44,2.10e-04,3.62e-07,Poorly soluble,-7.27,3.10e-05,5.33e-08,Poorly soluble,-12.49,1.90e-10,3.27e-13,Insoluble,Low,No,,,,,,,-6.21,1,3,1,1,1,0.55,0,0,3,4.05
